User,Project Description
75,"3D Modular Weapon System for video games

This system would target primarily game developers, and would be an asset that they could add into their own projects to help design and construct weapons for their games. It would allow for the user to customize their weapons by adding/taking away attachments, which would affect the stats of the weapon and the actual mechanics of how the weapon functions. "
76,ARC/CRCE Crowd Tracker
77,Web scraping project to analyze and compare firms' financials. 
80,"Classical Music Recommender

An app that recommends classical music pieces to users based on pieces they liked in the past."
85,A social media for people who like to listen to music. 
92,"1. Parent-Child Chores App
The app would have two interfaces, one for the parent and one for the child. The parent interface would allow parents to set chores with deadlines and incentives, including but not limited to screen time, money, toys, etc. The child would be able to verify completion of their tasks by submitting an image or other proof of the completed task, and the parent could approve the completion and release the reward through the app. "
98,"Project Name: HealthGPT (not final)

General Description: The end goal for this project would be to create an LLM trained on available data about illnesses, their respective symptoms, and the possible at home treatments for the specific illness. 

How I imagine it will work: Any user can open this app up like chatGPT, the LLM will prompt the user to input symptoms, and ask other necessary questions and come up with the possible illness and proper treatment."
99,"Study spot locater
Either a mobile app or a website for searching for study spaces. Can filter search by hours open (current time), level of noise, distance from current location, group study or solo study, study resources (tutoring), charging, food allowed, etc."
109,The idea of the project is to suggest new music to the user based on their existing spotify history.
118,An interview preparation website that prompts the user with behavioral (and maybe even technical) questions. It could potentially judge the user's responses using AI. Responses could be either spoken or typed (spoken would definitely be more difficult).
120,A breakout 2D game 
121,I want to build an app that would allow people to simulate simple circuits and solve circuit problems 
123,"Trip Itinerary Website - A website that helps users plan what to do on a trip based on their selected location, duration of the trip, and number of total guests. The website will give the user activities to do and popular attractions to see and the rough estimates for how much it will cost per guest."
124,My project would be a mobile application that helps students not to become a procrastinator. It would have a calendar and a daily reminder. Students will be able to make their own to-do list where they can add and check off their duties. It would also help them focus and get the most out of their study time using a pomodoro timer that sends an alert when they leave the app to get them back to work.
128,An app that tracks your workouts and gives you reminders
130,"This project would be to design an interactive website for Project4Less, a food-recovery RSO that aims to reduce food waste on campus while addressing food insecurity in the Urbana-Champaign community."
136,"I think it would be cool to have an app that makes a playlist based on the workout a person is going. The app would be tailored to the workout's type, length, and level of difficulty. For instance, a light job would have a different list of songs than a sprint. Also, if a person is doing weights, they could use a playlist that includes the number of songs as the number of sets and the song switches every time a person starts a new set. This could be indicated to the app by either voice detection, touch on the screen, press of a button, or time. "
140,"I will be creating an isometric puzzle game with a slight story element. I hope to create a game that focuses on the perspective of a character from a (currently undecided) Shakespeare play, and the puzzles will reflect their journey throughout the story. The final project would resemble some of those cheap movie-to-game ports on handheld consoles."
141,"COVID-19 heat map based on different demographics

Though most COVID-19 heat maps just become redder based on how many total cases there are in an area, the one I'm thinking of has filters depending on what demographics you want to see (such as race, gender, socioeconomic class, religion, etc.)"
144,A program that analyzes the data of sports players in different sports and compares them with each other to determine which sports bets are profitable or not.
150,"This application is an app or website that will connect you to another student at UIUC based on similar interests (could be classes taken/being taken, music taste, major, etc.). It will be designed to help freshman or people of other grades make friends. "
151,"The project would be a pitch recognition software which would present pitches and chords from audio input, either from a file or live input. These pitches would then be presented on a piano GUI for visual feedback."
153,"An app that monitors how much pollution you emit, to help people reduce their carbon footprint. It would help users make eco-friendly decisions by giving small tips based on their behavior and patterns.  "
158,To do list
166,using data and AI to give solutions to business owners about their problems
167,"An assignment compiler which when given the web address, the login information would, and class name would monitor class websites and compile assignments, their descriptions, their due dates, and (maybe) their contents in one location."
170,A 2D puzzle game like supermario with some new element
173,"I want to create an app which provides support for the elderly in any emergency situations which will essentially try to send help as soon as possible by notifying someone on an app through them clicking a button, so that somebody is able to come and rescue them. "
174,"The aim of my first idea is to develop an enhanced version of the commonly used iClicker, a device for checking attendance and conducting quizzes with multiple-choice questions. The enhanced iClicker will attempt to use simpler programming to provide a more seamless and efficient experience for both students and instructors."
180,Python program that helps predict stock price trends to a certain degree with machine learning.
192,"I want to make something that can modify the Spotify app by adding lots of features. For example, being able to add folder covers. Creating an automatic playlist for the most recently added 50 songs and most recently played 50 songs. Color/background customization for the app. Lastly, a custom tagging system for playlists."
196,We can create our own neural network.
199,A pathfinder for indoor buildings
201,A level-based puzzle game where you have to switch between top-down and side-scrolling sections to complete spatial puzzles.
208,An application that allows physically impaired users to type and operate a computer using only facial movements.
209,"a mobile app that's kind of like a period tracker but for showers, and you can add friends to compete with them. ""by engineers, for engineers"" type of deal yknow"
210,Create a fake news detection system. Be able to look up any news article and see if it is from a credible source or not.
213,"Daily Wear
A web app that helps the user to decide what to wear each day by recording the clothes that they have and arranging them into combinations with certain basic fashion rules in mind. (E.g. don't make the whole combination the same color if there's no obvious change in the texture or pattern of the clothes)"
223,"Multiplication Tables Game App or Website. An app or website that displays a simple multiplication problem (i.e. 12 x 12, 4 x 6, etc.) and the user has to answer as many as they can in a certain time span (like 1 minute). Could be expanded to cover division and other math problems if we have time"
242,"This project would be a scheduling app for my high school. Right now, my high school uses an app called Saturn, but recently Saturn has raised privacy and bullying concerns. If I can make an app that is specifically for my school(with the mascot and school pride slogans, similar to the Illinois App), then maybe my principal would consider it. If not, I could simply remove the high school aspect of it and make it a scheduling app for anything. Although there are many scheduling apps out there, I would get good practice out of this and I could also add features that you would otherwise have to pay for if you were to want one on the app store."
244,An app or website that can measure the wait time for each restaurant at each dining hall at UIUC. There is an opportunity to make this larger scale and apply this to different universities.
251,A chrome extension that connects students who have a question about a course with another student who has taken that course before/is confident with the material. 
257,An education game for children based on Google's Quick Draw dataset; have them draw pictures then output the word of what their drawing represents
269,Competitive line-graphing game
272,Personal Finance Application for UIUC students specifically.
281,"Advanced AI chater
Turning the form of text inputs and outputs of ChatGPT into video inputs and outputs"
282,A program that helps individuals keep up to date with the astronomy field.  Event notifcation and daily fun facts keep them interested.
283,"A program that focuses on helping teachers manage classroom quiet time. It will consist of a some kind of natural landscape, with small animals appearing as quiet time continues. Loud noises will ""scare"" the animals away."
285,Tech Support App
287,"2. Biometric mood recognition
Use biometric markers available through apple watch, fitness trackers, heart rate trackers to gauge users' moods and mental health. The model will ideally be trained on readily available biometric data such as heart rate, blood pressure, breathing, and be useable with apple watches and any other fitness trackers that can gather biometric data."
299,1v1 online card-based game with a fantasy setting and a few unique gimmicks
309,A social media where the user can post one photo with one song per day. 
314,"""Where's my mobility aid?"" - an AI trained tool for vision impaired people to find their mobility aid. Users can take a picture of their surroundings and upload it (big, colorful buttons on the app) and answer questions (is it a cane/walker, what color is it etc) and the app will tell them how far away it is and what direction."
329,Analyzing the effect of misinformation campaigns by adversaries on nation states through tweets and subsequent reaction of citizens.
335,"A mobile flashcard app that is meant to make the experience of studying more fun by using a similar function as the game ""Heads Up"". "
339,"A program that can predict crime rates in a specific area. It will take in things such as income, unemployment, population, and then return with how safe the place is and the crime rate."
340,"Mobile app that allows students to pick the dining hall and specific food they ate for every meal and give it a rating, and based on that, suggest what/where they should eat on a given day by using the menu for every dining hall and using the previous ratings to make a decision. "
348,"An app that you can take around with you wherever you go, and if you reach a building or monument and you are curious about the historical significance or any historical event that has taken place there it will tell you. "
350,"Stock Price Prediction Mobile App:
The ""Stock Price Prediction Mobile App"" project aims to develop a mobile application (available on iOS and Android) that assists users in predicting future stock prices for a given company or stock symbol. The app collects historical stock price data, pre processes and analyzes it using machine learning techniques, and provides users with predictions and visualizations. Key features include real-time data fetching, data preprocessing, machine learning model integration, user-friendly interface, and performance evaluation. This project empowers users to make informed investment decisions by offering accessible stock price predictions, making it a valuable tool for novice investors and those looking to enhance their stock market knowledge."
351,An app that allows users to rank dining hall food options and then uses these ranking to determine menus and overall dining hall ranks for certain days depending on the food they are offering.
358,"A real time multiplayer version of the sliding block puzzle game. The goal of the game is to rearrange the blocks to get a specific configuration. The player who solves it first, wins. The web application could also give the user a variety of puzzles to choose from."
360,"""RideShare"" 
- program that enables users to connect with people who are willing to drive with another individual long distances and split gas money (one person posts trip if they have a car and other people may request a rideshare to save on gas expenses, split costs)"
366,A program that helps the user pick and plan a life path.
367,Gift Recommender - An application that analyzes your friends and relatives social media accounts and suggests specific products they would like to receive as gifts.
375,Python program that helps predict stock price trends to a certain degree with machine learning.
378,The project idea is to develop a website or app that analyzes a user's YouTube search history to identify their interests and then connects them with others who share similar interests. This platform aims to provide users with an easy and fun way to meet people who have common interests based on their YouTube usage patterns.
379,Alarm clock that will test you on formulas (for android? I have never used apple)
380,An automatic music import algorithm
