User,Project Description,BERTopic,LDATopic
182,"Iris Pointer, python program enables computer users control position cursor turning eyes around. utilizes computer vision face tracking iris tracking.",1,
193,"Program compiles list data provides number visualization tools tools facts, graphs, etc.",1,
264,Using ML algorithms modern framework like Pytorch Tenserflow classification Twitter posts getting sentiment forum posts company website. would,1,
316,artificial intelligence detect emotional tone speech.,1,
321,"Sign Language Translator Speech- Impaired. Using camera, could make signs ASL, would translated text speech.",1,
355,AI driven Mental health chat bot/generated ai thing like gideon flash mimick human Mental health extremely important aspect people. Many individuals struggle mental health issues may easy access professional help. AI-driven mental health chatbot valuable project combines computer science healthcare address issue.,1,
384,Flashcard Software,1,
390,Create program predicts NFL team preform season,1,
84,"I'm interested making mobile game, probably 2D dungeon crawler genre type game. would probably coded Kotlin android game. I'm sure implement anything right since experience, hope also make graphics game since experience art digital art.",2,
142,"""T E R ' D"" (Game Development) (Java) Originally web animation, idea stickman finds middle giant game Tetris tries avoid crushed falling blocks.",2,
203,"video game building realm world that's similar Minecraft. would focused character, taking building blocks navigating world placed into.",2,
233,"would create point-and-click puzzle murder mystery game, player navigate atmospheric little town solve cryptic unsettling deaths several inhabitants. would involve deciphering riddles, solving puzzles unlock secret mechanisms, piecing together clues interactive evidence board.",2,
296,VR Maze Simulation AI add challenges things towards way make harder complete course. course also randomly change paths front make hard complete.,2,
334,"Card game- Make card game somewhat like Hearthstone Magic (but much simpler, obviously). I'm sure would feasible new CS student would pretty basic, like idea.",2,
373,Life college student Simualtion college student recreation UIUC campus. cozy 2D open world game (stardew valley vibe?),2,
